order_id,order_date,product,category,unit_price,quantity,discount_pct,revenue,country,channel,status,customer_age,customer_gender
ORD-00001,2024-10-16,Mechanical Keyboard,Electronics,149.99,1,15,127.49,France,Paid Ads,Delivered,26,Other
ORD-00002,2023-04-15,Blender Pro,Kitchen,74.99,5,0,374.95,Japan,Organic,Delivered,23,Male
ORD-00003,2023-08-27,The Lean Startup,Books,19.99,5,0,99.95,Germany,Direct,Cancelled,62,Other
ORD-00004,2024-03-05,Yoga Mat,Sports,39.99,4,10,143.96,France,Organic,Returned,28,Other
ORD-00005,2024-03-08,Protein Powder,Sports,54.99,3,0,164.97,Germany,Social Media,Delivered,23,Female
ORD-00006,2023-04-10,Office Chair,Furniture,299.99,3,10,809.97,France,Organic,Cancelled,47,Other
ORD-00007,2023-05-08,Standing Desk,Furniture,549.99,1,10,494.99,France,Direct,Processing,41,Other
ORD-00008,2023-07-16,Instant Pot,Kitchen,99.99,1,0,99.99,Germany,Social Media,Delivered,32,Male
ORD-00009,2024-01-25,Dumbbells Set,Sports,79.99,4,15,271.97,Australia,Paid Ads,Delivered,40,Male
ORD-00010,2024-11-17,Dumbbells Set,Sports,79.99,1,10,71.99,Canada,Referral,Cancelled,33,Male
ORD-00011,2024-04-18,Standing Desk,Furniture,549.99,3,15,1402.47,Germany,Direct,Delivered,21,Male
ORD-00012,2023-02-02,Protein Powder,Sports,54.99,4,0,219.96,UK,Paid Ads,Processing,63,Female
ORD-00013,2023-08-06,Air Fryer,Kitchen,129.99,4,5,493.96,Brazil,Paid Ads,Delivered,26,Male
ORD-00014,2024-07-28,Atomic Habits,Books,16.99,3,15,43.32,Japan,Referral,Shipped,41,Male
ORD-00015,2023-05-22,The Lean Startup,Books,19.99,4,0,79.96,USA,Organic,Delivered,58,Male
ORD-00016,2024-11-27,Bookshelf,Furniture,189.99,5,0,949.95,Japan,Email,Processing,47,Other
ORD-00017,2023-09-15,Atomic Habits,Books,16.99,1,15,14.44,UK,Direct,Processing,35,Other
ORD-00018,2023-12-15,Mechanical Keyboard,Electronics,149.99,3,5,427.47,Canada,Email,Delivered,64,Other
ORD-00019,2023-09-27,The Lean Startup,Books,19.99,2,10,35.98,UK,Direct,Delivered,58,Other
ORD-00020,2024-09-15,Running Shoes,Sports,119.99,2,0,239.98,Canada,Referral,Returned,51,Male
ORD-00021,2024-09-05,Protein Powder,Sports,54.99,4,0,219.96,UK,Social Media,Returned,37,Male
ORD-00022,2023-03-01,Yoga Mat,Sports,39.99,5,0,199.95,UK,Direct,Shipped,22,Other
ORD-00023,2023-05-09,4K Monitor,Electronics,499.99,4,10,1799.96,Canada,Social Media,Processing,56,Female
ORD-00024,2023-08-05,Atomic Habits,Books,16.99,2,15,28.88,France,Email,Cancelled,59,Female
ORD-00025,2024-03-24,The Lean Startup,Books,19.99,4,0,79.96,Germany,Paid Ads,Delivered,39,Male
ORD-00026,2024-08-25,Atomic Habits,Books,16.99,2,10,30.58,Germany,Organic,Delivered,63,Other
ORD-00027,2023-03-02,Yoga Mat,Sports,39.99,1,0,39.99,Australia,Organic,Processing,33,Female
ORD-00028,2024-11-16,Python Crash Course,Books,34.99,2,10,62.98,Canada,Direct,Processing,54,Female
ORD-00029,2023-09-06,Python Crash Course,Books,34.99,4,0,139.96,UK,Organic,Cancelled,45,Female
ORD-00030,2024-03-09,Bookshelf,Furniture,189.99,4,20,607.97,USA,Direct,Cancelled,59,Male
ORD-00031,2023-03-04,Standing Desk,Furniture,549.99,3,20,1319.98,UK,Paid Ads,Delivered,30,Other
ORD-00032,2024-04-04,4K Monitor,Electronics,499.99,4,0,1999.96,France,Email,Delivered,22,Female
ORD-00033,2024-07-17,Mechanical Keyboard,Electronics,149.99,1,15,127.49,USA,Organic,Returned,33,Male
ORD-00034,2024-02-21,Python Crash Course,Books,34.99,4,0,139.96,Japan,Organic,Delivered,42,Male
ORD-00035,2024-02-04,Dumbbells Set,Sports,79.99,4,0,319.96,Japan,Direct,Cancelled,53,Other
ORD-00036,2024-05-13,4K Monitor,Electronics,499.99,2,0,999.98,Germany,Organic,Processing,65,Other
ORD-00037,2023-03-04,Skincare Set,Beauty,59.99,3,0,179.97,USA,Referral,Shipped,50,Other
ORD-00038,2023-06-11,Wireless Mouse,Electronics,29.99,5,0,149.95,Canada,Organic,Processing,22,Other
ORD-00039,2023-08-29,Standing Desk,Furniture,549.99,1,10,494.99,Germany,Referral,Processing,20,Other
ORD-00040,2023-03-25,Bookshelf,Furniture,189.99,5,10,854.96,Australia,Social Media,Delivered,60,Other
ORD-00041,2023-11-18,Yoga Mat,Sports,39.99,3,5,113.97,Canada,Direct,Cancelled,37,Female
ORD-00042,2023-11-20,Sunscreen SPF50,Beauty,22.99,1,0,22.99,Brazil,Referral,Processing,24,Male
ORD-00043,2024-07-04,Running Shoes,Sports,119.99,5,0,599.95,Canada,Social Media,Delivered,33,Female
ORD-00044,2023-10-19,Webcam HD,Electronics,89.99,4,20,287.97,France,Referral,Returned,59,Other
ORD-00045,2023-01-09,Blender Pro,Kitchen,74.99,5,0,374.95,UK,Paid Ads,Delivered,25,Male
ORD-00046,2024-07-20,4K Monitor,Electronics,499.99,3,0,1499.97,Germany,Direct,Delivered,31,Other
ORD-00047,2024-10-11,Dumbbells Set,Sports,79.99,5,5,379.95,France,Organic,Delivered,58,Female
ORD-00048,2023-10-11,Wireless Mouse,Electronics,29.99,1,0,29.99,Canada,Direct,Delivered,28,Other
