campaign_id,date,platform,campaign_type,industry,region,budget_usd,impressions,clicks,conversions,revenue_usd,ctr_pct,cpc_usd,roas,cost_per_conversion
CMP-00001,2023-02-18,YouTube,Lead Generation,Education,Europe,11898.01,1308304,15045,1336,373387.85,1.15,0.79,31.38,8.91
CMP-00002,2023-12-19,Facebook,Engagement,Finance,Europe,21371.14,6965863,148372,16132,3319489.68,2.13,0.14,155.33,1.32
CMP-00003,2023-02-02,TikTok,Lead Generation,Finance,Europe,42573.38,8619535,655084,43106,16983874.99,7.6,0.06,398.93,0.99
CMP-00004,2023-04-26,Twitter,Conversion,Tech,Asia Pacific,28118.62,6786223,218516,24541,1668388.51,3.22,0.13,59.33,1.15
CMP-00005,2023-06-16,TikTok,Engagement,Finance,North America,18197.48,2677222,198382,4660,1874086.02,7.41,0.09,102.99,3.91
CMP-00006,2023-09-02,Instagram,Engagement,Travel,Europe,2334.58,141211,5719,567,38638.37,4.05,0.41,16.55,4.12
CMP-00007,2023-03-12,Facebook,Lead Generation,Healthcare,Middle East,780.56,154834,6859,192,76798.36,4.43,0.11,98.39,4.07
CMP-00008,2022-02-26,TikTok,Conversion,Healthcare,Middle East,20501.35,8071539,254253,21592,10006460.75,3.15,0.08,488.09,0.95
CMP-00009,2022-05-15,Instagram,Engagement,Finance,North America,5275.92,604874,10948,278,27352.53,1.81,0.48,5.18,18.98
CMP-00010,2022-08-01,Twitter,Conversion,Food & Beverage,Europe,42383.21,4354704,290458,7663,490608.54,6.67,0.15,11.58,5.53
CMP-00011,2022-10-22,Google Ads,Engagement,Food & Beverage,North America,17203.03,3778446,114486,11268,2381962.7,3.03,0.15,138.46,1.53
CMP-00012,2024-04-13,Twitter,Engagement,Tech,Europe,44038.63,20494093,1211200,61573,14695484.89,5.91,0.04,333.7,0.72
CMP-00013,2022-11-15,TikTok,Retargeting,Tech,Asia Pacific,11320.9,4688813,260698,8790,1488121.22,5.56,0.04,131.45,1.29
CMP-00014,2024-02-09,Facebook,Conversion,Finance,Asia Pacific,3948.99,718176,40505,1695,430930.43,5.64,0.1,109.12,2.33
CMP-00015,2022-05-11,LinkedIn,Conversion,Healthcare,Latin America,48421.65,20426373,347248,16869,5884322.31,1.7,0.14,121.52,2.87
CMP-00016,2024-06-02,Email,Lead Generation,Finance,Asia Pacific,44430.3,9126968,501983,42592,20588305.03,5.5,0.09,463.38,1.04
CMP-00017,2022-07-17,Instagram,Retargeting,Travel,Latin America,37279.3,16396336,365638,38011,7313395.88,2.23,0.1,196.18,0.98
CMP-00018,2023-02-14,Google Ads,Brand Awareness,Education,Middle East,10523.65,2998662,228498,26849,13304043.4,7.62,0.05,1264.2,0.39
CMP-00019,2023-06-08,Email,Lead Generation,Healthcare,Latin America,23667.21,6838971,352207,27347,10653558.66,5.15,0.07,450.14,0.87
CMP-00020,2024-02-27,LinkedIn,Lead Generation,Travel,North America,49977.16,20634045,220784,1915,109933.96,1.07,0.23,2.2,26.1
CMP-00021,2022-11-03,Twitter,Engagement,Travel,Middle East,28958.17,3976007,49700,5185,1117319.23,1.25,0.58,38.58,5.58
CMP-00022,2024-03-19,Instagram,Retargeting,Finance,Asia Pacific,6859.2,746271,28731,2952,1062321.91,3.85,0.24,154.88,2.32
CMP-00023,2023-03-05,Instagram,Retargeting,Healthcare,Europe,14042.11,4320738,309796,15181,6353745.5,7.17,0.05,452.48,0.92
CMP-00024,2023-05-06,Email,Lead Generation,Tech,Middle East,12358.86,3175515,19688,845,221591.29,0.62,0.63,17.93,14.63
CMP-00025,2022-12-10,Google Ads,Engagement,Travel,Middle East,14129.96,782838,22624,793,74535.37,2.89,0.62,5.27,17.82
CMP-00026,2022-02-18,YouTube,Brand Awareness,Tech,Asia Pacific,25811.14,7739976,208205,21101,1203350.02,2.69,0.12,46.62,1.22
CMP-00027,2024-03-04,YouTube,Lead Generation,Food & Beverage,Europe,6299.78,802129,20614,968,283681.55,2.57,0.31,45.03,6.51
CMP-00028,2022-07-22,Instagram,Retargeting,Travel,Middle East,4532.42,1609205,95586,9547,960360.21,5.94,0.05,211.89,0.47
CMP-00029,2022-03-30,Google Ads,Engagement,Travel,Latin America,8744.91,3864309,227221,17205,6666255.42,5.88,0.04,762.3,0.51
CMP-00030,2023-09-18,Instagram,Retargeting,Food & Beverage,North America,44707.68,18519827,698197,28178,10630415.8,3.77,0.06,237.78,1.59
CMP-00031,2022-05-31,Email,Engagement,Travel,North America,11939.17,5522652,356211,33846,16762020.77,6.45,0.03,1403.95,0.35
CMP-00032,2023-08-04,Email,Engagement,Food & Beverage,North America,43883.59,5382099,386434,9330,2226564.58,7.18,0.11,50.74,4.7
CMP-00033,2022-09-17,Twitter,Engagement,Tech,Middle East,20128.06,3729466,63027,7154,3176728.8,1.69,0.32,157.83,2.81
CMP-00034,2024-04-09,LinkedIn,Retargeting,Tech,Latin America,21661.07,1787803,56315,4209,754013.67,3.15,0.38,34.81,5.15
CMP-00035,2022-12-09,Twitter,Brand Awareness,Finance,Asia Pacific,30708.5,9107814,519145,3702,1612795.72,5.7,0.06,52.52,8.3
CMP-00036,2022-10-23,YouTube,Conversion,Education,Europe,9120.65,2123523,19324,633,96285.11,0.91,0.47,10.56,14.41
CMP-00037,2024-05-13,Facebook,Conversion,Tech,Middle East,47208.44,20155392,300315,34427,11214678.2,1.49,0.16,237.56,1.37
CMP-00038,2022-03-04,LinkedIn,Lead Generation,Education,Latin America,7867.91,3695561,28455,1437,712922.71,0.77,0.28,90.61,5.48
CMP-00039,2023-04-02,Facebook,Lead Generation,Education,Europe,17395.25,1903731,140495,2172,577583.22,7.38,0.12,33.2,8.01
CMP-00040,2022-08-27,Email,Lead Generation,Travel,North America,22098.66,3110480,202181,4140,1560496.4,6.5,0.11,70.61,5.34
CMP-00041,2022-09-12,Instagram,Retargeting,Retail,Middle East,33776.48,9356948,657793,44381,6227888.21,7.03,0.05,184.39,0.76
