date,product,category,sales,quantity,region
2024-01-05,Laptop,Electronics,1200,2,North
2024-01-12,Phone,Electronics,800,5,South
2024-01-18,Desk,Furniture,350,3,East
2024-01-25,Chair,Furniture,150,8,West
2024-02-03,Laptop,Electronics,1200,4,South
2024-02-10,Monitor,Electronics,450,6,North
2024-02-17,Table,Furniture,500,2,East
2024-02-22,Phone,Electronics,800,3,West
2024-03-01,Laptop,Electronics,1200,7,North
2024-03-08,Chair,Furniture,150,12,South
2024-03-15,Monitor,Electronics,450,4,West
2024-03-20,Desk,Furniture,350,5,East
2024-04-02,Phone,Electronics,800,9,North
2024-04-09,Table,Furniture,500,3,South
2024-04-16,Laptop,Electronics,1200,6,East
2024-04-23,Chair,Furniture,150,15,West
2024-05-01,Monitor,Electronics,450,8,North
2024-05-07,Phone,Electronics,800,4,South
2024-05-14,Desk,Furniture,350,6,East
2024-05-21,Laptop,Electronics,1200,3,West
